item_id,Recomendaciones
761140,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
643980,"['SNOW', 'Space Hulk', 'SNOW - All Access Basic Pass', 'SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass']"
670290,"['Assassin’s Creed® IV Black Flag™', 'DEFCON', 'RACE - The WTCC Game', 'FlatOut', 'Railroad Tycoon 3']"
767400,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
773570,"['Icarus Six Sixty Six', 'Panoptic', 'After Life VR', ""Don't Get Hit In The Face"", 'Kitty Hawk']"
772540,"['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Christmas Santa Troubles', 'Chronicles of Vinland', 'Orbitality', 'Tank Universal']"
774276,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
774277,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
774278,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
768800,"['Beijing 2008™ - The Official Video Game of the Olympic Games', 'Street Fighter® IV', 'Dead Space™ 2', 'Sonic The Hedgehog 2', 'Sonic 3 &  Knuckles']"
768570,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
724910,"['After Life VR', 'Kitty Hawk', 'Kingdom Watcher', 'Log Challenge', ""Don't Get Hit In The Face""]"
770380,"['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Christmas Santa Troubles', 'Chronicles of Vinland', 'Orbitality', 'Tank Universal']"
768880,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
765320,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
773650,"['Fate of the World', 'Fate of the World: Tipping Point', 'Bumbledore', 'Analogue: A Hate Story', 'Gratuitous Tank Battles']"
774271,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
773690,"['Civilization V - Babylon (Nebuchadnezzar II)', 'Fate of the World: Denial', 'Fate of the World: Migration', 'Krater - Character DLC Mayhem MK13', 'Gratuitous Tank Battles - The Western Front']"
774279,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
772590,"['Icarus Six Sixty Six', 'Kitty Hawk', 'Kingdom Watcher', 'Log Challenge', 'Medicalholodeck Personal Version']"
640250,"['After Life VR', 'Icarus Six Sixty Six', ""Don't Get Hit In The Face"", 'Kingdom Watcher', 'Golf Masters']"
768060,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
711440,"['Hero Academy', 'King’s Bounty: Legions', 'Kingdom Watcher', 'Panoptic', 'DEFCON']"
775880,"['Waves Soundtrack', 'Defense Grid: Resurgence Map Pack 1', 'Orcs Must Die! - Artifacts of Power', 'Hard Reset: Exile DLC', ""FLY'N Soundtrack""]"
775881,"['Spiral Knights: Operation Crimson Hammer', 'XCOM: Enemy Unknown - Elite Soldier Pack', 'XCOM: Enemy Within', 'Space Hulk - Kraken Skin DLC', 'RC Plane 3 - Canyon Scenario']"
653960,"['LEGO® Indiana Jones™: The Original Adventures', 'Thrillville®: Off the Rails™', 'Mutant Storm: Reloaded', 'Bionic Commando: Rearmed', 'Altered Beast™']"
777910,"['Might & Magic: Heroes VI', 'Painkiller: Recurring Evil', 'LogoMaker 4', 'RaySupreme 3D', 'Lost Summoner Kitty']"
282010,"['Rome: Total War™ - Collection', 'Pacific Storm Allies', 'Gratuitous Space Battles', 'Victoria II', 'Sengoku']"
70,"['The Ship: Murder Party', 'Lost Planet™: Extreme Condition', 'Wargame: European Escalation - ""Commander"" (Free DLC)', 'IL-2 Sturmovik: Cliffs of Dover', 'DEFCON']"
752360,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
594200,"['Kitty Hawk', 'Golf Masters', 'Icarus Six Sixty Six', 'Log Challenge', 'Puzzler World']"
520680,"['Talisman: Digital Edition', 'Ticket to Ride', 'SNOW', 'SNOW - All Access Basic Pass', 'SNOW - All Access Pro Pass']"
690410,"['Dead Space', 'Rise of the Argonauts', 'Devil May Cry 4', 'VVVVVV', 'Jet Set Radio']"
766850,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
413120,"['SNOW', 'SNOW - All Access Basic Pass', 'SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack']"
773120,"['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Christmas Santa Troubles', 'Chronicles of Vinland', 'Orbitality', 'Tank Universal']"
680970,"['Icarus Six Sixty Six', 'After Life VR', 'Kitty Hawk', 'Mortars VR', 'Panoptic']"
754360,"['Kingdoms of Amalur: Reckoning - Legend of Dead Kel', 'Hitman: Absolution: Bartoli Custom Gun', 'Hitman: Absolution: Agency HX UMP', 'Hitman: Absolution: Agency SPS 12', 'Hitman: Absolution: Deus Ex (Adam Jensen) Handgun']"
716110,"['Atomic Adam: Episode 1', 'Wings of Prey', 'Mafia II', 'L.A. Noire', 'Ridge Racer™ Unbounded']"
1640,"['Disciples II: Rise of the Elves', 'RIP - Trilogy™', 'Silent Hunter® III', 'Brain Spa', 'Codename: Panzers - Cold War']"
1630,"['Disciples II: Rise of the Elves', 'RIP - Trilogy™', 'Silent Hunter® III', 'Brain Spa', 'Codename: Panzers - Cold War']"
2400,"['Half-Life', 'Carmageddon Max Pack', 'Rome: Total War™ - Collection', 'Pacific Storm Allies', 'Gratuitous Space Battles']"
662570,"['Tribes: Ascend', 'RIFT', 'A.V.A. Alliance of Valiant Arms™', 'SpellForce 2 - Anniversary Edition', 'Sins of a Solar Empire®: Rebellion - Original Soundtrack']"
381620,"['X-Blades', 'Shelter', 'Alpha Kimori™ 1', 'God Mode', 'Pinball Arcade: Season Two Pro Pack']"
714020,"['APB Reloaded', '3DMark', 'Champions Online', 'APB Reloaded Urban Survival Pack', 'Driver Fusion Premium']"
541930,"['Log Challenge', 'Kingdom Watcher', 'Mortars VR', 'Gimbal', 'Race']"
759920,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
659780,"['X3: Terran Conflict', 'The Stanley Parable', 'LocoCycle', 'X3: Albion Prelude', 'Outlast']"
603280,"['Tomb Raider: Anniversary', 'Devil May Cry® 3 Special Edition', 'BioShock™', 'Tomb Raider: Legend', 'Bully: Scholarship Edition']"
753110,"['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Christmas Santa Troubles', 'Chronicles of Vinland', 'Orbitality', 'Tank Universal']"
753100,"['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Christmas Santa Troubles', 'Chronicles of Vinland', 'Orbitality', 'Tank Universal']"
769350,"['After Life VR', 'Kitty Hawk', 'Kingdom Watcher', 'Icarus Six Sixty Six', 'Dota 2']"
